model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
baseline_res50,cifar100,23,glass_blur,43.56,43.83,45.92,33.88,36.26,40.69
baseline_res50,cifar100,23,motion_blur,53.1,47.28,41.56,42.29,36.45,44.136
baseline_res50,cifar100,23,zoom_blur,50.69,48.66,45.71,43.34,38.98,45.476
baseline_res50,cifar100,23,snow,54.22,46.57,45.73,42.11,37.52,45.23
baseline_res50,cifar100,23,frost,52.68,46.63,39.83,39.06,34.4,42.52
baseline_res50,cifar100,23,fog,56.7,49.75,43.54,36.23,21.83,41.61
baseline_res50,cifar100,23,brightness,58.21,56.62,54.01,50.51,42.61,52.392
baseline_res50,cifar100,23,contrast,55.19,43.98,35.93,26.24,10.29,34.326
baseline_res50,cifar100,23,elastic_transform,49.86,49.93,47.53,44.57,43.53,47.084
baseline_res50,cifar100,23,pixelate,57.84,55.44,55.11,51.22,46.11,53.144
baseline_res50,cifar100,23,jpeg_compression,54.16,51.0,50.48,49.55,48.15,50.668
baseline_res50,cifar10,23,gaussian_noise,77.86,68.69,56.92,51.11,45.51,60.018
baseline_res50,cifar10,23,shot_noise,81.37,76.82,64.67,58.86,49.28,66.2
baseline_res50,cifar10,23,impulse_noise,80.95,75.46,68.96,52.62,38.72,63.342
baseline_res50,cifar10,23,defocus_blur,84.95,82.87,78.36,70.08,53.52,73.956
baseline_res50,cifar10,23,glass_blur,55.67,57.59,61.09,45.22,48.69,53.652
baseline_res50,cifar10,23,motion_blur,79.87,72.17,64.0,63.54,56.56,67.228
baseline_res50,cifar10,23,zoom_blur,78.08,75.12,70.81,65.95,59.17,69.826
baseline_res50,cifar10,23,snow,80.37,69.9,71.84,68.33,65.78,71.244
baseline_res50,cifar10,23,frost,80.46,75.73,66.56,66.16,58.16,69.414
baseline_res50,cifar10,23,fog,84.35,81.19,76.96,71.21,54.26,73.594
baseline_res50,cifar10,23,brightness,85.05,84.08,82.89,81.72,77.61,82.27
baseline_res50,cifar10,23,contrast,83.16,74.74,66.04,52.54,25.82,60.46
